Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",name,source,source_url
1,drowned,drowning or exhaustion related death,,2016-06-16T00:00:00Z,2016,1,0,1,"a body of a man, about 50, was found on a beach in Lemos Vouliagmeni, near Athens",Lemos Vouliagmeni,37.8136546,23.8362307,"37.8136546, 23.8362307",,Greek Coast Guard,http://www.hcg.gr/node/12832
2,drowned,drowning or exhaustion related death,,2016-06-12T00:00:00Z,2016,1,0,1,a body of a man awas recovered in along with 133 survivors in a rescue operation  between Italy and Libya.,between Italy and Libya,33.5784085,11.9031222,"33.5784085, 11.9031222",,DPA,http://www.dpa-international.com/news/international/italy-coastguard-1230-sea-migrants-rescued-one-body-recovered-a-49628405.html
3,drowned,authorities related death,,2016-06-01T00:00:00Z,2016,1,0,1,A 22-year old man from Syria drowned in the river Tisza trying to cross to Hungary from Serbia. UNHCR has called for the investigation of the supposed pushback by the Hungarian border police that led to this death.,Tisza river near the village of Roszke,46.1675227,"20.0005179,14","46.1675227, 20.0005179,14",,UNHCR,http://www.dw.com/en/unhcr-calls-for-investigation-into-river-drowning-of-syrian-refugee-in-hungary/a-19307392
4,drowned,drowning or exhaustion related death,,2016-06-03T00:00:00Z,2016,10,329,339,"318 people were saved, 10 were found dead, and 329 went missing after a boat sank 75 nautical miles off Crete. It left from Alexandria, and carried about 650 people, according to survivors.",75 nautical miles off Crete,32.6853649,25.9012421,"32.6853649, 25.9012421",,Reuters,http://in.reuters.com/article/europe-migrants-greece-iom-idINKCN0YT1LQ
5,drowned,drowning or exhaustion related death,,2016-06-02T00:00:00Z,2016,133,0,133,133 dead people have been found on the sea shore in Libya near Zuwara. They are believed to be the refugees who went missing in the accidents of the previous week.,near Zuwara,32.8708471,12.0631696,"32.8708471, 12.0631696",,Red Cresecent,http://www.reuters.com/article/us-europe-migrants-libya-idUSKCN0YR0IZ
6,drowned,drowning or exhaustion related death,,2016-06-01T00:00:00Z,2016,2,0,2,"2 boys from Iraq were found dead in an irrigation reservoir near a shelter near Katherini, Northern Greece",near Katherini,40.2712228,22.4930176,"40.2712228, 22.4930176",,ABC,http://abcnews.go.com/International/wireStory/latest-eu-nations-extend-border-checks-39521792
7,drowned,drowning or exhaustion related death,,2016-05-28T00:00:00Z,2016,1,0,1,"IOM Italy reported the death of one man off the coast of Porto Empedocle, Italy",Porto Empedocle,37.2912498,13.2358149,"37.2912498, 13.2358149",,IOM Italy,
8,drowned,drowning or exhaustion related death,,2016-05-26T00:00:00Z,2016,0,9,9,IOM Italy reported 9 people a missing between Messina and North Africa,Between North Africa and Messina,35.3626838,15.9465353,"35.3626838, 15.9465353",,IOM Italy,
9,drowned,drowning or exhaustion related death,,2016-05-27T00:00:00Z,2016,45,215,260,"45 bodies were taken out of water, and 215 are feared missing after a boat sank between Italy and Libya","Channel of Sicily, 35 miles from Libyan coast",33.5259117,8.0491191,"33.5259117, 8.0491191",,Italian Coast Guard,http://palermo.repubblica.it/cronaca/2016/05/27/news/terzo_naufragio_in_tre_giorni_dieci_corpi_recuperati_decine_di_dispersi-140753076/?ref=HREA-1&refresh_ce
10,drowned,"violent accidental death (transport, blown in minefield...)",,2016-05-26T00:00:00Z,2016,4,0,4,"the Libyan coast guard has recovered 4 bodies, believed to be the victims of two different shipwrecks.",off the coast of Libya,33.2286864,12.033724,"33.2286864, 12.033724",,Libyan Coast guard,http://news.nationalpost.com/news/world/bodies-spotted-in-the-mediterranean-sea-after-migrant-boat-sinks-off-of-libyas-coast
11,drowned,drowning or exhaustion related death,,2016-05-26T00:00:00Z,2016,0,47,47,"47 people have gone missing and 78 were saved off the coast of Sabratha, Libya",off the coast of Sabratha,33.1328706,12.2549685,"33.1328706, 12.2549685",,IOM Italy,
12,drowned,drowning or exhaustion related death,,2016-05-26T00:00:00Z,2016,0,500,500,"about 500 people are reported as drowned, and 87 were saved after a boat sank off the Libyan coast. It was towed by another boat, and did not have an engine.",35 nautical miles off the coast of Zuwara,33.3572511,11.3470785,"33.3572511, 11.3470785",,UNHCR,http://www.thenational.ae/world/europe/700-refugees-believed-drowned-in-the-mediterranean-in-three-days-says-un
13,drowned,drowning or exhaustion related death,,2016-05-25T00:00:00Z,2016,5,250,255,"435 people were saved, and 5 bodies were recovered after a wooden fishing boat capcized off the coast of Libya. It was later reportedd that about 250 were trapped in the overturned boat and died when it sank.",Off the coast of Zawiya,34.0593093,12.3110937,"34.0593093, 12.3110937",,CBC,http://www.cbc.ca/news/world/migrant-drownings-1.3605484
14,drowned,drowning or exhaustion related death,,2016-05-22T00:00:00Z,2016,0,10,10,Italian coast guard is searching for about 10 refugees who went missing after their boat capcisedd close to Sardinia. They were crossing from Algeria.,Close to Sardinia,37.4798643,2.4963183,"37.4798643, 2.4963183",,The Telegraph,http://www.telegraph.co.uk/news/2016/05/22/italy-launches-search-for-missing-migrant-boat-off-sardinia/
15,drowned,drowning or exhaustion related death,,2016-05-12T00:00:00Z,2016,1,0,1,"a 20-year old man from Morocco drowned in the port of Ceuta after trying to get on a ship to Algesiras. The body was later retrieved by the coast guard, and placed in the city morgue.",Ceuta,35.89473,-5.32132,"35.89473, -5.32132",,Yabiladi,http://www.yabiladi.com/articles/details/44551/ceuta-marocain-meurt-essayant-rejoindre.html
16,drowned,drowning or exhaustion related death,,2016-04-29T00:00:00Z,2016,0,9,9,IOM Italy reported 9 migrants as missing after a shipwreck off the coast of Libya.,off the coast of Libya,35.9395293,10.8791731,"35.9395293, 10.8791731",,IOM Rome,
17,drowned,drowning or exhaustion related death,,2016-04-29T00:00:00Z,2016,23,0,23,"23 people died and 454 were rescued and brought to the port of Pozzallo after a shipwreck in the Channel of Sicily. They mostly come from Adrical countires, but some are from Syria and Yemen.",Channel of Sicily,37.2768876,10.8044894,"37.2768876, 10.8044894",,Giornale di Sicilia,http://ragusa.gds.it/2016/05/02/sbarco-a-pozzallo-i-sopravvissuti-30-migranti-morti-in-mare-durante-i-soccorsi_507200/
